POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
722404.223279,4365890.96522,0.0,0.6095289101734375,1.0,0.2030128249051127,0.3925684108013741,0.6137303504681334,0.7808394789739943,0.0090577961337594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722411.961084,4365890.97263,5.281788063046132e-05,0.6095289101734375,1.0,0.2003897670637151,0.3907579910242612,0.6093829103504823,0.7749490314788352,0.0090577961337594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722419.698967,4365890.98005,0.0006079192156003,0.6087275957722876,1.0,0.0488819468447535,0.3889153777632502,0.6035854089502949,0.7690728087655883,0.0152389615347682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722427.436773,4365890.98747,0.0011638404542703,0.609929535532004,1.0,0.0488819468447535,0.3870383187993029,0.5977886156094514,0.7690728087655883,0.0257343353168416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722435.174581,4365890.99482,0.0017341505836011,0.6089279402935793,1.0,0.0483603774872447,0.3851290001097211,0.5919910699555551,0.7632250356161651,0.0333378911860481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722442.912466,4365891.00226,0.0023622147679467,0.6090948516041982,1.0,0.047835307311818,0.3831863618267222,0.5861942766147116,0.7573985129031349,0.0420567439254462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722450.650274,4365891.00971,0.0029976705352692,0.6090948516041982,1.0,0.047306701310294,0.3812103708294379,0.5803974832738682,0.7516005264904038,0.0420567439254462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722458.388082,4365891.01716,0.0036427914159917,0.6089946793435523,1.0,0.0467745769867625,0.3791999341292172,0.5746006899330247,0.7458451276869335,0.0480734368645916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722466.12597,4365891.02454,0.0042987952581553,0.6092951961254899,1.0,0.0462377440631314,0.3771572708242304,0.5688038965921812,0.740125204101768,0.0583745602367483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722473.863779,4365891.03201,0.0047988202220332,0.6061233080408689,1.0,0.0456985655914952,0.3750801618163074,0.564456500728239,0.7344550672532943,0.0729376674216465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722481.601589,4365891.03949,0.0054764061458125,0.6061233080408689,1.0,0.0451558512937618,0.3729697000940988,0.5586596631336865,0.7288559675779056,0.0729376674216465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722489.339477,4365891.04697,0.0055493638334332,0.5829187509361476,1.0,0.0451558512937618,0.371543846717748,0.552862869792843,0.7288559675779056,0.0920299577542681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722497.077288,4365891.05447,0.0061957127979005,0.5730693277383857,1.0,0.044610808952113,0.3693767151900358,0.5470668287650524,0.7233350174665577,0.1047824188929423,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722381.004156,4365898.64997,0.0,0.612400217795443,0.1893717631164152,0.2113683320544699,0.3989597778603242,0.6286990347735024,0.7965496230215953,0.0377591793119487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722388.741952,4365898.65735,0.0,0.609795993748041,1.0,0.2087288203688579,0.3972427258106894,0.6246996500770723,0.7905668011804835,0.0352816077445148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722396.479825,4365898.66475,0.0,0.6089279402935793,1.0,0.2060881184051536,0.3954934802771565,0.6191747515242747,0.7845982041212837,0.0283686345740856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722404.217624,4365898.67207,0.0,0.6096624519607393,1.0,0.2034462961797158,0.393711975017989,0.6133881365364994,0.7786438318439958,0.0175696872493584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722411.955422,4365898.67948,0.0002957382805479,0.6096624519607393,1.0,0.2008055942160116,0.3918971501654044,0.6090479540271229,0.772696571957664,0.0175696872493584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722419.693297,4365898.6869,0.0008757071008764,0.6094621074394476,1.0,0.04917913127781,0.3900478464890153,0.6032612947856386,0.766763536853244,0.008634805827956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722427.431095,4365898.69432,0.0014601960882419,0.6102300523139416,1.0,0.04917913127781,0.3881652232192091,0.5974753878572071,0.766763536853244,0.0044218890812557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722435.168894,4365898.70175,0.0020504400498414,0.609195023864844,1.0,0.0486540611023832,0.3862492472351175,0.5916894809287756,0.7608518389216922,0.0053716271559835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722442.906773,4365898.70911,0.0027641977463199,0.6091282211308542,1.0,0.0481254551008593,0.3842999516576088,0.5859035297466351,0.7549542790355772,0.0158812019011096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722450.644573,4365898.71656,0.0034372689219643,0.6091282211308542,1.0,0.0475921404992357,0.3823150511467765,0.5801183308775475,0.7490780563223302,0.0158812019011096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722458.382451,4365898.72401,0.004119994774605,0.6094287379127916,1.0,0.0470564978536967,0.3802968641633953,0.5743331320084599,0.743223170781951,0.0276750877099324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722466.120252,4365898.73147,0.0048136142257906,0.609195023864844,1.0,0.0465173193820605,0.3782441652353414,0.5685486854524251,0.7373967348053959,0.0387879954363919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722473.858054,4365898.73894,0.0053413843691161,0.6088945070829065,1.0,0.0459734323103246,0.3761570537252195,0.5642099633154454,0.7315986616561897,0.0526740009671672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722481.595935,4365898.74634,0.0060557566092171,0.6088945070829065,1.0,0.0454272171946733,0.3747467671569264,0.5584262248187545,0.7258290380708073,0.0526740009671672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722489.333738,4365898.75383,0.0060989211738486,0.6090280488702083,1.0,0.0454272171946733,0.3726029527204326,0.5526424863220636,0.7258290380708073,0.0728214224884036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
